"","cod_mun","ano_censo","mediaEducacao","psf"
"292",150830,2007,3.85056239957151,1
"293",150835,2007,3.9009900990099,1
"294",150840,2007,4.8476430976431,1
"295",160005,2007,5.06962025316456,1
"296",160010,2007,4.72101449275362,1
"297",160015,2007,4.15384615384615,1
"298",160020,2007,4.8974358974359,1
"299",160021,2007,4.66666666666667,1
"300",160023,2007,4.6734693877551,1
"301",160025,2007,4.6271186440678,1
"302",160027,2007,4.57142857142857,1
"303",160030,2007,5.13939393939394,1
"304",160040,2007,4.34688346883469,1
"305",160050,2007,4.52,1
"306",160053,2007,4.80239520958084,1
"307",160055,2007,4.72727272727273,1
"308",160060,2007,5.01578498293515,1
"309",160070,2007,4.49152542372881,1
"310",160080,2007,4.15,1
"311",170025,2007,4.76470588235294,1
"312",170030,2007,4.93023255813953,1
"313",170035,2007,5.02857142857143,1
"314",170040,2007,4.97021276595745,1
"315",170070,2007,5.33928571428571,1
"316",170100,2007,5.32522123893805,1
"317",170105,2007,5.04545454545455,1
"318",170110,2007,4.66666666666667,1
"319",170130,2007,4.44230769230769,1
"320",170190,2007,4.87581699346405,1
"321",170200,2007,5.46698113207547,1
"322",170210,2007,5.28294478527607,1
"323",170215,2007,4.92857142857143,1
"324",170220,2007,4.89510489510489,1
"325",170230,2007,4.65573770491803,1
"326",170240,2007,4.84375,1
"327",170255,2007,5.12858926342072,1
"328",170270,2007,4.58620689655172,1
"329",170290,2007,5.00574712643678,1
"330",170300,2007,5.19090909090909,1
"331",170305,2007,4.92307692307692,1
"332",170307,2007,4.34782608695652,1
"333",170310,2007,4.65853658536585,1
"334",170320,2007,4.61538461538461,1
"335",170330,2007,4.46428571428571,1
"336",170360,2007,5.13333333333333,1
"337",170370,2007,5.24,1
"338",170380,2007,4.92887029288703,1
"339",170382,2007,5,1
"340",170384,2007,4.5531914893617,1
"341",170386,2007,5.05882352941176,1
"342",170388,2007,4.92857142857143,1
"343",170389,2007,5.03846153846154,1
"344",170390,2007,4.93023255813953,1
"345",170410,2007,4.38095238095238,1
"346",170460,2007,5.66666666666667,1
"347",170510,2007,4.91304347826087,1
"348",170550,2007,5.1938864628821,1
"349",170555,2007,5.19718309859155,1
"350",170560,2007,4.41095890410959,1
"351",170600,2007,4.81632653061224,1
"352",170610,2007,5.06440677966102,1
"353",170625,2007,5.69230769230769,1
"354",170650,2007,4.60869565217391,1
"355",170700,2007,4.91940298507463,1
"356",170710,2007,4.89830508474576,1
"357",170720,2007,4.66,1
"358",170730,2007,5.36363636363636,1
"359",170740,2007,4.59712230215827,1
"360",170755,2007,5.28571428571429,1
"361",170765,2007,5.140625,1
"362",170770,2007,4.96666666666667,1
"363",170820,2007,5.07862407862408,1
"364",170825,2007,5.19047619047619,1
"365",170830,2007,4.83505154639175,1
"366",170900,2007,4.72374429223744,1
"367",170930,2007,5.30016051364366,1
"368",170950,2007,5.25874125874126,1
"369",170980,2007,4.72727272727273,1
"370",171050,2007,4.73611111111111,1
"371",171070,2007,5.10824742268041,0
"372",171090,2007,4.83870967741935,1
"373",171110,2007,5.50632911392405,1
"374",171150,2007,4.52,1
"375",171180,2007,5.04,1
"376",171190,2007,4.55696202531646,1
"377",171195,2007,4.10810810810811,1
"378",171200,2007,4.8,1
"379",171215,2007,5,1
"380",171240,2007,4.52447552447552,1
